experiment,case_id,method,row,column,k,C,noise_level,n_radial,n_angular_requested,n_per_axis,n_geometries,requested_measure_dirs,candidate_count,target_nodes,p_nodes,data_mode,data_source,shape,em_dsm_nodes,em_dsm_configurations,em_dsm_channels,em_dsm_adjoint_components,em_dsm_normalized,em_dsm_raw_max,em_dsm_raw_l2,farfield_data_norm,farfield_data_max_abs,farfield_adjoint_data_norm,farfield_adjoint_data_max_abs,farfield_weighted_norm,farfield_weighted_max_abs,image_max_abs,target_mean_abs,background_p95_abs,polarimetric_J,polarimetric_rank_min,polarimetric_sigma_min_min,polarimetric_sigma_min_median,polarimetric_condition_median,polarimetric_condition_max,vie_voxel_nodes,vie_unknowns,vie_unique_incident_directions,vie_rhs_count,vie_residual_sample_count,vie_linear_residual_sample_max
3,k5_farfield_dsm,farfield_em_dsm,0,0,5.0,10.0,0.2,7,86,11,6,230,24,602,602,mock,full_vie,three_blocks_gap_0.20,602,6,36,9,1,0.07198312344755599,3.4510683906945983,0.44438673969348297,0.013244361608554031,0.8422306941286656,0.056845199722903174,0.005151373532014669,0.00048200452737044854,1.0,0.6733839493676317,0.6371219697270064,6,9,0.1882175446999877,0.6274362116557923,3.462019958552837,12.441894332855208,739,2217,302,604,6,1.5204628358523169e-16
3,k6_farfield_dsm,farfield_em_dsm,0,1,6.0,12.0,0.2,8,110,11,6,302,24,880,880,mock,full_vie,three_blocks_gap_0.20,880,6,36,9,1,0.06423155402038859,2.7188722034096062,0.52698748711528,0.012355447404817992,1.0092943101352911,0.054636108676936065,0.0040441884318839745,0.0002831852360598179,1.0,0.669283984022088,0.5343040091993617,6,9,0.16813661099817873,0.7217597352899499,3.058228188179404,14.125361746558827,739,2217,302,604,6,1.5668981293907201e-16
3,k7_farfield_dsm,farfield_em_dsm,0,2,7.0,14.0,0.2,9,110,12,6,350,24,990,990,mock,full_vie,three_blocks_gap_0.20,990,6,36,9,1,0.061748433046247324,1.9430045917065393,0.47120561396615424,0.011312675411588207,0.9157236422531566,0.04935638590203882,0.003575322206190238,0.0002586150978801955,1.0,0.5412763056405889,0.27882837715193753,6,9,0.19888168013738622,0.7181217262110611,3.0236400965755132,11.810626219657369,912,2736,350,700,6,1.1307468931060077e-16
3,k8_farfield_dsm,farfield_em_dsm,1,0,8.0,16.0,0.2,10,146,13,6,434,24,1460,1460,mock,full_vie,three_blocks_gap_0.20,1460,6,36,9,1,0.10040109240529958,2.912197252794633,1.3825724742781944,0.033475461870644097,2.644308147822935,0.15145401053026877,0.005064136401114613,0.00035149633734365016,1.0,0.5418667446042539,0.23199439935770755,6,9,0.15608262773122838,0.6515702588267439,3.303390971967154,15.236537958215315,1189,3567,434,868,6,1.731042541721494e-16
3,k10_farfield_dsm,farfield_em_dsm,1,1,10.0,20.0,0.2,12,194,16,6,590,24,2328,2328,mock,full_vie,three_blocks_gap_0.20,2328,6,36,9,1,0.038591751287227694,0.9931693679395658,0.5544291478125062,0.009943175765799927,1.0661432821954404,0.04495667241513173,0.0016011201954340404,7.934210266901297e-05,1.0,0.5029311514053146,0.14887665658906693,6,9,0.10364139625304016,0.6317828994770083,3.530220585055641,23.331236833900913,2176,6528,590,1180,6,1.3763244800832122e-16
3,k15_farfield_dsm,farfield_em_dsm,1,2,15.0,30.0,0.2,12,230,23,6,974,24,3624,3624,mock,full_vie,three_blocks_gap_0.20,3624,6,36,9,1,0.013360249665849547,0.3788596875386778,0.6768264424469154,0.015181251446962401,1.3547096136460852,0.0669581837135652,0.0006648067200762784,2.8055406122221595e-05,1.0,0.5531845387068215,0.14805010648965627,6,9,0.06970196290350264,0.6098931128107531,3.6886102290060756,34.58810285326997,6403,19209,974,1948,6,2.230161371057216e-16
