experiment,case_id,row,column,k,C,K,ell_max,n_modes_per_ell,epsilon,N_cap,N_cap_theory,N_cap_discrete,N_cap_hard,retained_N,retained_multiplets,partial_multiplets,noise_level,n_radial,n_angular_requested,n_per_axis,n_geometries,requested_measure_dirs,actual_measure_dirs,candidate_count,data_mode,data_source,shape,C_mock_distance_mean,C_mock_distance_p95,C_mock_distance_max,polarimetric_J,polarimetric_rank_min,polarimetric_sigma_min_min,polarimetric_sigma_min_median,polarimetric_condition_median,polarimetric_condition_max,vie_voxel_nodes,vie_unknowns,vie_unique_incident_directions,vie_rhs_count,vie_residual_sample_count,vie_linear_residual_sample_max,target_nodes,p_nodes,mock_distance_mean,mock_distance_max,mock_distance_p95,total_modes,retained_modes,retained_ratio,retained_ell_max,retained_n_max,alpha_max,alpha_min_retained,alpha_median_retained,target_nodes_per_total_modes,target_nodes_per_retained_modes,gram_offdiag_ratio,gram_cond,projection_branch,regularization,data_norm,data_max_abs,coeff_norm,coeff_max_abs,image_min,image_max,image_max_abs,image_l2,background_mean_abs,background_p95_abs,target_mean_abs,target_p95_abs
3,k4,0,0,4.0,8.0,20,4,2,0.2,32,32,86,512,29,7,0,0.2,6,74,11,6,170,170,24,mock,full_vie,three_blocks_gap_0.20,0.578654247459102,0.9977707481803961,1.0381380002714344,6,9,0.25767576634491773,0.7699114107421704,2.87331061406116,9.240527420164836,739,2217,170,340,6,1.666202708459526e-16,516,516,0.07233178093238775,0.1297672500339293,0.12472134352254952,50,29,0.58,4,1,0.695998879572001,0.5777503716607062,0.6602462342578359,10.32,17.79310344827586,5.999544389557777e-07,1.451233043307597,diagonal,4.124836986741556e-11,0.714353322806342,0.05137544783977197,0.07995293782308709,0.056128690743728234,-0.016391327183666083,0.19537581370656057,0.20308282780821937,9.360078097995881,0.03489215070549103,0.1371103518767819,0.12006748727073108,0.1867856456670424
3,k6,0,1,6.0,12.0,26,5,3,0.2,72,72,146,512,70,14,0,0.2,8,110,11,6,302,302,24,mock,full_vie,three_blocks_gap_0.20,0.5734512642864019,0.9186829036266693,1.1723865103831297,6,9,0.16813661099817873,0.7217597352899499,3.058228188179404,14.125361746558827,739,2217,302,604,6,1.6509957725954466e-16,880,880,0.04778760535720016,0.09769887586526081,0.07655690863555577,108,70,0.6481481481481481,5,2,0.3788767158004198,0.29925880417706696,0.37568367675934844,8.148148148148149,12.571428571428571,3.95846518820465e-06,1.6029298362245976,diagonal,1.3327016384167324e-11,0.7854105657102074,0.053022098425310596,0.11760712370881969,0.05632001681419922,-0.0500402436196602,0.3814954813857999,0.4128482824015551,16.80161323255389,0.053003090044953544,0.21528951067547267,0.27101671531821436,0.3913829623673884
3,k8,1,0,8.0,16.0,32,7,3,0.2,128,128,243,512,116,18,0,0.2,10,146,13,6,434,434,24,mock,full_vie,three_blocks_gap_0.20,0.6080013986748256,0.9752272678127502,1.2902702548300826,6,9,0.15608262773122838,0.6515702588267439,3.303390971967154,15.236537958215315,1189,3567,434,868,6,1.9475080464646448e-16,1460,1460,0.0380000874171766,0.08064189092688016,0.060951704238296885,192,116,0.6041666666666666,7,2,0.24608765539669034,0.2422875166819914,0.2460347573969173,7.604166666666667,12.586206896551724,1.619093369439471e-06,1.031600712464445,diagonal,6.032716133654034e-12,1.7409238696826046,0.12054095634842098,0.2349940218169049,0.1446579342250903,-0.11101364017742485,0.7246941539099709,1.0333296974453354,28.614872010167606,0.06917900595207484,0.2238223574435229,0.5499102042568645,0.9253060515806076
3,k10,1,1,10.0,20.0,40,8,5,0.2,200,200,388,512,191,27,0,0.2,12,194,16,6,590,590,24,mock,full_vie,three_blocks_gap_0.20,0.6221083776991947,0.946456642404009,1.3801759313168782,6,9,0.10364139625304016,0.6317828994770083,3.530220585055641,23.331236833900913,2176,6528,590,1180,6,1.4813896021173973e-16,2328,2328,0.031105418884959733,0.06900879656584391,0.04732283212020045,405,191,0.47160493827160493,8,4,0.17608599228870808,0.1754795261148695,0.17608480921903413,5.7481481481481485,12.188481675392671,1.3413765596271599e-06,1.0069186786923612,diagonal,3.0983678313258514e-12,0.7221741345860822,0.04604239383221738,0.12998300825523854,0.04616620881500609,-0.1380702598787802,0.7320685701405154,0.8181809873849196,21.72277752577026,0.031214763487159725,0.10653597101950993,0.4416156839036897,0.7319928845090323
3,k15,2,0,15.0,30.0,48,12,7,0.2,450,450,604,512,450,46,0,0.2,12,230,23,6,974,974,24,mock,full_vie,three_blocks_gap_0.20,0.6602435277015102,1.077200462893869,1.6195869965566436,6,9,0.06970196290350264,0.6098931128107531,3.6886102290060756,34.58810285326997,6403,19209,974,1948,6,2.5862405495479705e-16,3624,3624,0.02200811759005034,0.05398623321855479,0.0359066820964623,1183,450,0.3803888419273035,12,5,0.0958490737686651,0.09584891017496253,0.09584907362628241,3.063398140321217,8.053333333333333,0.01774703632849671,1.518442455320234,solve,9.19341302176628e-13,0.8197018718819326,0.05629891591238168,0.14258019803998512,0.048947611885453296,-0.1811780821890614,0.5254015627007538,0.7536093832863265,22.92724531706751,0.04214176293831321,0.17469810445018893,0.4378367057935136,0.692756926991182
3,k20,2,1,20.0,40.0,80,14,7,0.2,512,800,2025,512,510,54,0,0.2,28,434,31,6,1730,1730,24,mock,full_vie,three_blocks_gap_0.20,0.565148034614275,0.918182067845112,1.4114926991965184,6,9,0.032263669980475064,0.5474058660073963,4.056787288125949,75.4942863843789,15515,46545,1730,3460,6,4.814753849381211e-16,12152,12152,0.014128700865356876,0.03528731747991296,0.0229545516961278,1575,510,0.3238095238095238,12,6,0.06225579960965448,0.06225579960673644,0.06225579960965441,7.7155555555555555,23.827450980392157,1.1251760544800573e-14,1.0000000000939453,diagonal,3.8757845850249487e-13,2.5527927710683147,0.28184409694459955,0.17995900352534108,0.05653341441553837,-0.45052122256311405,0.3540750374565286,0.7595540198369661,23.580474937843377,0.06780783127361796,0.2788200751688965,0.3817608624882193,0.6059844182378362
