experiment,case_id,method,row,column,k,C,noise_level,n_radial,n_angular_requested,n_per_axis,n_geometries,requested_measure_dirs,candidate_count,target_nodes,p_nodes,data_mode,data_source,shape,data_norm,data_max_abs,dsm_nodes,dsm_normalized,dsm_raw_max,dsm_raw_l2,image_max_abs,target_mean_abs,background_p95_abs,polarimetric_J,polarimetric_rank_min,polarimetric_sigma_min_min,polarimetric_sigma_min_median,polarimetric_condition_median,polarimetric_condition_max,vie_voxel_nodes,vie_unknowns,vie_unique_incident_directions,vie_rhs_count,vie_residual_sample_count,vie_linear_residual_sample_max
3,k5_dsm,qhat_dsm,0,0,5.0,10.0,0.2,7,86,11,6,230,24,602,602,mock,full_vie,three_blocks_gap_0.20,0.16109960499556972,0.012273492354097049,602,1,0.01576157250200929,0.7522265808142031,1.0,0.6864087677617555,0.6493957895720883,6,9,0.1882175446999877,0.6274362116557923,3.462019958552837,12.441894332855208,739,2217,302,604,6,1.5204628358523169e-16
3,k6_dsm,qhat_dsm,0,1,6.0,12.0,0.2,8,110,11,6,302,24,880,880,mock,full_vie,three_blocks_gap_0.20,0.18838463435627628,0.012720889414472112,880,1,0.01442772506086961,0.5788508388209953,1.0,0.6572640640803545,0.5122422436114379,6,9,0.16813661099817873,0.7217597352899499,3.058228188179404,14.125361746558827,739,2217,302,604,6,1.5668981293907201e-16
3,k7_dsm,qhat_dsm,0,2,7.0,14.0,0.2,9,110,12,6,350,24,990,990,mock,full_vie,three_blocks_gap_0.20,0.16454871534707313,0.009778310857373587,990,1,0.013645223236306231,0.39853731278988586,1.0,0.5234997682513113,0.24015543377855497,6,9,0.19888168013738622,0.7181217262110611,3.0236400965755132,11.810626219657369,912,2736,350,700,6,1.1307468931060077e-16
3,k8_dsm,qhat_dsm,1,0,8.0,16.0,0.2,10,146,13,6,434,24,1460,1460,mock,full_vie,three_blocks_gap_0.20,0.46419175380411576,0.032764286258943134,1460,1,0.0210007149325547,0.5685965349565916,1.0,0.5305949337049226,0.19819807665917694,6,9,0.15608262773122838,0.6515702588267439,3.303390971967154,15.236537958215315,1189,3567,434,868,6,1.731042541721494e-16
3,k10_dsm,qhat_dsm,1,1,10.0,20.0,0.2,12,194,16,6,590,24,2328,2328,mock,full_vie,three_blocks_gap_0.20,0.19281825776974004,0.013255736028278042,2328,1,0.008540350150787464,0.2103079448527567,1.0,0.4917638684913176,0.1031846586810185,6,9,0.10364139625304016,0.6317828994770083,3.530220585055641,23.331236833900913,2176,6528,590,1180,6,1.3763244800832122e-16
3,k15_dsm,qhat_dsm,1,2,15.0,30.0,0.2,12,230,23,6,974,24,3624,3624,mock,full_vie,three_blocks_gap_0.20,0.22477459414297235,0.015223183514549267,3624,1,0.0026302175934427136,0.07303646263032121,1.0,0.5536033866176303,0.12387146668758074,6,9,0.06970196290350264,0.6098931128107531,3.6886102290060756,34.58810285326997,6403,19209,974,1948,6,2.230161371057216e-16
